location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Laghman,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Alishang , Dawlatshah",
Paktia,National,Health Care,Full Time,Female,1 year,VD,Position Title: Pharmacist,Pharmacy Diploma
Kunduz,National,Business,Full Time,Any,7 years,BA,Position Title: Regional Manager,Work experience in Sales and Marketing and Business Management is preferred
Kabul,National,Health Care,Full Time,Female,4 years,BA,Position Title: MHPSS Technical Manager,
Laghman,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Qarghaee , Alingar",
Kabul,National,Program/Project,Full Time,Any,5years,BA,Position Title: HIVA (High Impact Valued Added Intervention) Consultant,
Kandahar,National,Purchasing-Procurement,Full Time,Any,3 years,BA,Position Title: Logistics Officer,Manage procurement activities at the Kandahar Area office that includes procurements requested from the field offices.
Herat,National,Program/Project,Full Time,Female,1-2 years,BA,Position Title: Business Development Officer,
Nuristan,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Kamdish , Barg-e-Matal",
Kabul,National,Support,Full Time,Any,3 years,HS,Position Title: Assistant Cook,At least 3 years Experience working as Cook in a humanitarian Organization.
Zabul,National,Security,Full Time,Male,4 years,HS,Position Title: Security Officer,"Provide technical support to the area office on security policies, procedures, guidelines, and planning for staff safety, operational security, and program continuity in Zabul;"
Balkh,National,Program/Project,Full Time,Any,5years,BA,Position Title: Program Manager,"Experience in Livelihoods, Micro and medium women businesses, gender, and nutrition, MHPSS and legal assistance is plus point."
Oruzgan,National,Security,Full Time,Male,4 years,HS,Position Title: Security Officer,"Provide technical support to the area office on security policies, procedures, guidelines and planning for staff safety, operational security and program continuity in Uruzgan ;"
Badakhshan,National,Program/Project,Full Time,Any,3 years,MA,"Position Title: Programme Policy Officer- NOB- Herat, Kandahar, Faizabad",At least three (3) years of postgraduate professional experience;
Kabul,National,Health Care,Full Time,Male,10 years,MD,Position Title: Program Director (Re Announced),
Nangarhar,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Batikot , Kot",
Zabul,National,Engineering,Full Time,Male,3 years,BA,Position Title: WASH Field Engineer,
Kabul,National,Banking/Accounting,Full Time,Male,2 years,BA,Position Title: Deputy  Operation Audit Manager,"Ability to think ?outside the box? and apply creative and constructive thinking to propose recommendations for improvements to internal processes control, procedures and policies."
Nangarhar,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Chaparhar , Rodat",
Oruzgan,National,Engineering,Full Time,Male,3 years,BA,Position Title: WASH Field Engineer,
Kabul,National,Banking/Accounting,Full Time,Male,1 year,BA,Position Title: CSR  ,
Kabul,National,Program/Project,Full Time,Any,3-5 years,MA,Position Title: Position Title: Master Trainer,
Zabul,National,Banking/Accounting,Full Time,Male,1 year,BA,Position Title: CSO Zabul,
Kabul,National,Health Care,Full Time,Female,3 years,BA,Position Title: Female Ultrasonologist + Backup for Maternity,
Nangarhar,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Shinwar , Achin",
Balkh,National,Business,Full Time,Any,2 years,BA,Position Title: Market Linkage Trainer,
Herat,National,Pharmaceutical,Full Time,Any,2 years,BA,Position Title: Drug Dispenser,Excellent communication skills
Ghowr,National,Business,Full Time,Any,None,None,Position Title: Purchaser (Local Recruitment),
Kabul,National,Program/Project,Full Time,Female,2 years,BA,Position Title: (VSLA) Officer- Village Savings and Loans Association,
Bamian,National,Program/Project,Full Time,Any,2 years,BA,Position Title: Community Mobilizer (BMN),
Kabul,National,Program/Project,Full Time,Any,5years,BA,Position Title: CARPETS VALUE CHAIN EXPERT (Re Announced),
Kabul,National,Program/Project,Full Time,Any,5years,BA,Position Title: CASHMERE VALUE CHAIN EXPERT (Re Announced),
Kabul,National,Program/Project,Full Time,Any,5years,BA,Position Title: NATURAL STONE VALUE CHAIN EXPERT (Re Announced),
Kandahar,National,Construction,Full Time,Male,5 years,BA,Position Title: Project Manager (Construction),
Herat,National,Program/Project,Full Time,Any,5-8 years,BA,Position Title: Regional Project Manager (Re Announced),
Nangarhar,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Nangarhar (Mohmandara , Lalpura District)",
Nangarhar,National,Program/Project,Full Time,Female,2-3 years,BA,Position Title: Center Officer ( Only Female),Basic computer skills and familiarity with Word/Excel
Nangarhar,National,Program/Project,Full Time,Any,5years,BA,"Position Title: District Communication Officer (DCO) - Nangarhar (Kama , Gushta District)",
Nangarhar,National,Legal,Full Time,Any,1-year,BA,Position Title: ICLA Technical Assistant,University degree from faculty of law or Sharia and a thorough a basic knowledge of Afghan law.
Kabul,National,Business,Full Time,Any,7 years,BA,Position Title: National Senior Environmental Management Specialist - PIU,"Excellent analytical, writing, problem-solving, and decision-making skills."
Balkh,National,Program/Project,Full Time,Any,1 year,BA,Position Title: Assistant Protection Officer (In replacement Capacity with Lien),
Kunduz,National,Agriculture,Full Time,Any,2-3years,BA,Position Title: Technical Assistant (Agriculture Expert)- Kunduz (Re Announced),
Sar-e Pol,National,Agriculture,Full Time,Any,5 years,BA,Position Title: Technical Supervisor (Agriculture),
Nangarhar,National,Legal,Full Time,Any,3 years,BA,Position Title: ICLA Officer,Strategic thinking.
Kabul,National,Program/Project,Full Time,Any,7 years,BA,Position Title: National Senior M&E and Reporting Specialist - PIU,"Excellent analytical, problem-solving, and decision-making skills."
Kabul,National,Security,Full Time,Any,5 years,BA,Position Title: Risk Manager,
Kabul,National,Business,Full Time,Any,7 years,BA,Position Title: National Senior Operation Specialist - PIU,"Excellent analytical, problem-solving, and decision-making skills."
Bamian,National,Program/Project,Full Time,Female,2 years,BA,Position Title: Protection and Rule of Law Monitor ( Only Female),
Kabul,National,Program/Project,Full Time,Female,4 years,BA,"Position Title: Monitoring, Evaluation, Learning and Accountability Officer (Female Only) (168872)",Minimum 4 years of relevant experience within the humanitarian field
Kabul,National,Other,Full Time,Any,5 years,BA,Position Title: National Senior HRD and Capacity Building Specialist - PIU,
Nangarhar,National,Program/Project,Full Time,Any,2 years,HS,Position Title: Community Mobilizer (Hygiene Promoter - WASH),"In depth knowledge of the broad range of migration related subject areas dealt with by the Organization; and,"
Kabul,National,Business,Full Time,Any,3 years,BA,Position Title: People & Culture Officer (Learning & Development),Minimum 3 years of work experience or more in HR (Learning & Development) Section in a similar position with the national and International Organization.
Kunar,National,Health Care,Full Time,Female,1 year,BA,Position Title: Female Cleaner (Re-announced) (Re Announced),
Badakhshan,National,Business,Full Time,Any,2-3 years,BA,Position Title: Finance Assistant,Bachelor of Business Administration or B.A in Finance/accounting is required.
Oruzgan,National,Health Care,Full Time,Female,2 year,BA,Position Title: Provincial Social Worker,
Kandahar,National,Health Care,Full Time,Female,2 year,BA,Position Title: Provincial Social Worker,
Zabul,National,Health Care,Full Time,Female,2 year,BA,Position Title: Provincial Social Worker,
Kandahar,National,Health Care,Full Time,Any,5 year,BA,Position Title: Regional Child Protection & Gender Based Violence Manager,
Kabul,National,Health Care,Full Time,Female,2 years,BA,Position Title: Psychologist/Counsellor,
Kabul,National,Other,Full Time,Any,2 years,BA,Position Title: Communications Officer,A minimum of two (2) years of relevant experience working in the communications field is required.
Kabul,National,Engineering,Full Time,Any,2 years,BA,Position Title: Construction Management Engineer (Roster),"A minimum of 2 years of field work experience in the field of construction, preferably in road construction"
Ghazni,National,Health Care,Full Time,Any,1 year,MD,Position Title: Provincial Supervisor/ data collector,
Nangarhar,National,Health Care,Full Time,Any,2 years,BA,Position Title: Environmental Health Database Assistant (Re Announced),
Kabul,National,Engineering,Full Time,Any,4 years,BA,"Position Title: Construction Management Engineer (Roster), Multiple positions",A minimum of 4 years of progressively responsible experience as a Building/Civil Engineer is required.
Jawzjan,National,Program/Project,Full Time,Male,3 years,BA,Position Title: Logistic and Transport Officer,
Takhar,National,Business,Full Time,Any,7 years,BA,Position Title: Provincial Coordinator,"Ability to cope well under pressure, work irregular hours and meet tight deadlines"
Kabul,National,Business,Full Time,Any,7 years,BA,Position Title: Project Manager,"Project management skills: planning, execution, monitoring and control, risk management, stakeholder management"
Baghlan,National,Business,Full Time,Any,7 years,BA,Position Title: Provincial Coordinator,"Ability to cope well under pressure, work irregular hours and meet tight deadlines"
Nangarhar,National,Other,Full Time,Any,4 years,BA,Position Title: Camp Management Officer,Planning and delivering results.
Kabul,National,Business,Full Time,Any,7 years,BA,Position Title: Project Manager,"Project management skills: planning, execution, monitoring and control, risk management, stakeholder management"
