location,Nationality,job_Category,EmploymentType,gender,Experience_years,min Education,Name,KeySkills
Kabul,National,Agriculture,Full Time,Any,15 years,BA,Position Title: Deputy Chief of Party-Technical (Re Announced),
Kabul,National,Business,Full Time,Any,5-7 years,BA,Position Title: Finance Director,
Sar-e Pol,National,Business,Full Time,Any,2  years,BA,Position Title: Finance Assistant,
Kabul,National,Communication,Full Time,Any,5 years,BA,Position Title: Communication Specialist,Results Focus
Kabul,Any,Business,Full Time,Any,5years,BA,Position Title: Project Manager,
Kabul,National,Business,Full Time,Any,3 years,BA,Position Title: District Coordinator,
Kabul,National,Business,Full Time,Any,3 years,BA,Position Title: Community Development Facilitator (CDF),
Nangarhar,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Trainer,
Kabul,National,Education,Full Time,Any,5-10 years,MA,Position Title: Principal High School  ,Work with teachers to create teaching schedules.
Balkh,Any,Education,Part Time,Any,1-3 years,BA,"Position Title: School Teachers, Cambridge Subject: (Computer), Maref Subjects:(History, Geography) Maref subject:(Dari :for Kabul location)",
Kabul,National,Program/Project,Full Time,Any,5 years,MA,Position Title: Deputy Research Manager,
Kabul,National,Other,Full Time,Any,3 years,MA,Position Title: Aviation Officer (NOB)- UNHAS- Kabul,At least three (3) years of postgraduate professional experience in a similar field.
Kandahar,National,Engineering,Full Time,Any,3 years,BA,Position Title: Site Engineer,
Kabul,National,Other,Full Time,Any,1 Year,MA,Position Title: Aviation Officer ( NOA)- UNHAS- Kabul,At least one (1) year of postgraduate professional experience
Kapisa,National,Education,Full Time,Female,1-3 years,BA,Position Title: Master Trainer- Only Famele,
Kabul,National,Program/Project,Full Time,Any,5 years,BA,Position Title: Software Developer (Consultant) for developing WASH MIS (Afghan Nationals Only),
Kabul,National,Engineering,Full Time,Any,7 years,BA,Position Title: Project Manager (Re Announced),"Certification in Project Management (PRINCE2, PMP, etc.) is an asset."
Kabul,National,Program/Project,Full Time,Any,5 years,BA,Position Title: Program Manager,
Nangarhar,National,Other,Full Time,Any,5years,HS,"Position Title: POLITICAL AFFAIRS ASSISTANT, G5",
Kabul,National,Other,Full Time,Any,5 years,HS,"Position Title: ADMINISTRATIVE ASSISTANT, G5",
Herat,National,Health Care,Full Time,Male,2-3 years,BA,Position Title: Psychosocial Counselor,
Kabul,National,Business,Full Time,Any,4 years,VD,Position Title: Administration Associate,
Helmand,National,Agriculture,Full Time,Male,4 years,BA,Position Title: Agriculture Specialist-Multiple,
Logar,National,Health Care,Full Time,Male,2 years,BA,Position Title: Surgeon Specialist  ,
Helmand,National,Agriculture,Full Time,Male,4 years,BA,Position Title: Complaint Officer-Multiple,
Herat,National,Other,Full Time,Any,2 years,BA,"Position Title: ASSISTANT ADMINISTRATIVE OFFICER, NOA",
Paktia,National,Health Care,Full Time,Female,1 year,HS,Position Title: HSCs Health and Hygiene Promotor,
Logar,National,Program/Project,Full Time,Male,5 years,MD,Position Title: Project provincial supervisor (Re Announced),
Helmand,National,Agriculture,Full Time,Male,3 years,BA,Position Title: Extension Worker-Multiple,
Kabul,National,Other,Full Time,Any,2  years,MD,Position Title: Nutrition Officer,
Helmand,National,Agriculture,Full Time,Male,2-3 years,BA,Position Title: Feedback and complaint mechanism officer-Multiple,"Ability to acquire, retrieve, and obtain information from different resources."
Kabul,National,Other,Full Time,Female,2  years,BA,Position Title: Female Nutrition Nurse,
Paktia,National,Health Care,Full Time,Female,1 year,VD,Position Title: HSCs Female Nurse/Vaccinator,
Badakhshan,National,Engineering,Full Time,Any,4 years,BA,Position Title: Architecture and Design Engineer,Bachelors degree on architecture
Helmand,National,Agriculture,Full Time,Female,3 years,BA,Position Title: Gender/PSEA Officer-Multiple,
Badakhshan,National,Program/Project,Full Time,Any,4 years,BA,Position Title: Livestock Technical Officer,Bachelors degree Veterinary sciences or relevant field
Badakhshan,National,Program/Project,Full Time,Any,3 years,BA,Position Title: Market Development Trainer,"Market development trainer is required to have bachelors degree in marketing, business or a related fields."
Helmand,National,Agriculture,Full Time,Male,2-4 years,BA,Position Title: Livelihood Officer- Multiple,
Kabul,National,Business,Full Time,Any,7 years,MA,Position Title: Senior Operations Officer,Seven-plus years of progressive experience managing operations. Including four (4) years of management experience
Kandahar,National,Other,Full Time,Any,2 years,BA,Position Title: Radio Operator (Re Announced),Ensure that messages are well copied/passed to all people concerned and records the messages on the radio logbook.
Badakhshan,National,Program/Project,Full Time,Any,3 years,BA,Position Title: NRM Technical Assistant,Bachelors degree on agriculture
Ghazni,National,Program/Project,Full Time,Any,5years,BA,Position Title: Regional Program Coordinator,"Bachelors degree on Agriculture, or Horticulture/ Livestock"
Helmand,National,Agriculture,Full Time,Male,2 years,BA,Position Title: Surveyor-Multiple,Previous experience as a surveyor or in a similar role
Kabul,National,Information Technology,Full Time,Any,8 years,BA,Position Title: Senior Manager Transport (Transmission Planning),
Kabul,National,Business,Full Time,Female,5 years,MA,Position Title: Senior Finance Officer (Financial Reporting & Compliance),Willingness to travel and work under difficult conditions.
Balkh,National,Business,Full Time,Any,2 years,BA,Position Title: Video Editing and Social Media Officer ? Remote Work,
