,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
0,Kabul City,National,Business,Full Time,Male,8.0,BA,Position Title: Admin Finance Manager
1,Kabul City,International,Business,Part Time,Any,10.0,MA,Position Title: Grant Coordinator/Proposal Writer (international) only
2,Kabul City,Any,Business,Part Time,Female,10.0,MA,Position Title: Grant Coordinator/Proposal Writer (Female) only
3,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Reporting and Data Management Officer
4,West Zone,National,Business,Full Time,Any,5.0,BA,Position Title: District Supervisors / Team Leaders
5,West Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Food Distribution/Community Mobilizer
6,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Stock Keeper
7,Kabul City,National,Business,Full Time,Any,4.0,BA,"Position Title: Admin, Finance and Logistic Officer (BGL UNESCO)"
8,Kabul Zone,National,Business,Full Time,Any,4.0,,Position Title: Cook
9,Kabul Zone,National,Security,Full Time,Any,4.0,,Position Title: Guard
10,Kabul City,National,Others,Full Time,Any,5.0,HS,Position Title: Supply Assistant
11,Central Highlands,National,Business,Full Time,Female,3.0,BA,Position Title: Psychosocial Counsellor
12,Kabul City,Any,Education,Part Time,Any,2.0,BA,"Position Title: School Teachers, Cambridge Subjects (Computer, Chemistry, Mathematics, Biology, Physics, English) & IT Manager"
13,Kabul City,National,Business,Full Time,Male,4.5,BA,Position Title: Deputy Sales & Marketing Manager
14,Kabul City,National,Engineering,Full Time,Any,2.5,BA,Position Title: Biomedical Engineer
15,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Expor Development Specialist
16,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title:Export Policy Specialist
17,Kabul City,National,Business,Full Time,Female,3.0,MD,Position Title: Monitoring and Evaluation (M&E) Officer (Re Announced)
18,West Zone,National,Business,Full Time,Any,1.0,BA,Position Title: Nurse
19,Kabul City,National,Education,Full Time,Female,0.0,BA,Position Title: Pashto and English Teacher
20,Kabul City,National,Others,Full Time,Male,3.5,BA,Position Title: Procurement and Documentation Officer
21,East Zone,National,Health,Full Time,Male,5.0,MD,Position Title: Orthopedic Specialist
22,Kabul City,National,Education,Part Time,Male,5.0,BA,Position Title: Instructor 
23,Kabul City,National,Others,Full Time,Any,7.0,BA,"Position Title: Executive, Corporate Sales"
24,Kabul City,National,Engineering,Full Time,Male,5.0,BA,Position Title: Civil Engineer
25,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Audit Officer
26,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Business Development and Proposal Writing Specialist
27,Kabul City,National,IT,Full Time,Any,0.0,BA,Position Title: Web and Social Media Administrator
28,Kabul City,National,Education,Full Time,Female,6.0,MA,"Position Title: Professional Development Coordinator, ECD (Re Announced)"
29,Kabul City,National,Engineering,Full Time,Male,7.0,BA,Position Title: Proposal Writer ( Civil Engineer )
30,Kabul City,National,Business,Full Time,Any,4.0,MA,Position Title: Sales Trainer
31,South Zone,National,Engineering,Full Time,Any,2.0,BA,Position Title: Site Engineer
32,Kabul City,National,IT,Full Time,Any,5.0,BA,"Position Title: Monitoring, Evaluation, Accountability, and Learning (MEAL) Coordinator"
33,North-Zone,National,Health,Full Time,Any,10.0,MA,Position Title: HMIS Coordinator/Monitoring & Performance Manager (Re Announced)
34,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: MEAL Team Leader- Nimruz (Re Announced) (Re Announced)
35,Kabul City,National,Others,Full Time,Male,2.5,BA,Position Title: Medical Representative
36,East Zone,National,Education,Full Time,Male,2.0,BA,Position Title: Human Resource Manager
37,West Zone,National,Legal,Full Time,Any,3.0,BA,Position Title: Protection Officer
38,Kabul City,National,Business,Full Time,Any,3.0,BA,"Position Title: Operations, Admin and logistics officer (Re Announced)"
39,Kabul City,National,IT,Full Time,Male,4.5,MA,Position Title: IT Manager
40,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Chief Risk Officer (CRO) (Re Announced)
41,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Deputy Chief Risk Officer (Dy CRO)
42,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Digital Marketer
43,West Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Administrative and HR Manager (Re Announced)
44,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: HR Manager (Freelance)
45,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Accountant
46,Kabul City,National,Others,Full Time,Male,5.0,BA,Position Title: Admin &  Finance Manager
47,Kabul City,Any,Education,Full Time,Male,2.0,MA,Position Title: Lectureship
48,Kabul City,National,Others,Full Time,Male,3.0,HS,Position Title: Laundry Officer
49,North-Zone,National,Agriculture,Full Time,Any,3.0,BA,Position Title: Horticulture Assistant (Re Announced)
50,North-Zone,National,Engineering,Full Time,Male,6.0,BA,Position Title: Road Project Engineer / Construction Manager
51,Kabul City,National,Business,Full Time,Male,4.0,BA,Position Title: Finance and Money Exchange Manager
52,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Last Mile Assurance Officer
53,East Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Section Leader (SL) for AIM team DRC-HDP
54,East Zone,National,Business,Full Time,Any,2.0,HS,Position Title: AIM Searcher-DRC- HDP
55,Central Highlands,National,Education,Full Time,Female,5.0,BA,Position Title: Education Officer
56,East Zone,National,Others,Full Time,Any,1.0,SS,Position Title: Assistant Inventory Control (Casual) - Jalalabad
57,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Economic Recovery Officer (SME)
58,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Economic Recovery Officer (Cash for Work)
59,Kabul Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Hygiene Promotion Officer-Kabul/Kapisa
60,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Community Mobilization Officer
61,Kabul City,National,Business,Full Time,Any,3.0,BA,"Position Title: Risk, Ethics & Safeguarding Manager"
62,Kabul City,National,Others,Full Time,Any,5.0,BA,Position Title: Natural Resource Management (NRM) Coordinator
63,Kabul Zone,National,Business,Full Time,Any,1.0,BA,"Position Title: Monitoring, Evaluation, Accountability and Learning (MEAL) officer - Kapisa (Re Announced)"
64,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring Evaluation Accountability and Learning Deputy Manager (Re Announced)
65,North-East Zone,National,Health,Full Time,Any,2.0,MD,Position Title: RH Officer
66,North-Zone,National,Engineering,Full Time,Any,3.0,BA,Position Title: Regional Engineer (Officer)
67,North-Zone,National,Agriculture,Full Time,Any,3.0,BA,Position Title: Provincial Natural Resource Management (NRM) Officer
68,West Zone,National,Business,Full Time,Male,2.0,SS,Position Title: Cook/Cleaner
69,North-East Zone,National,Business,Full Time,Male,4.0,BA,Position Title: Procurement Officer
70,North-East Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Micro Finance Officer
71,North-East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Physiotherapist
72,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Legal & Policy Advisor-Consultant
73,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Protection Manager (Re Announced)
74,East Zone,National,Business,Full Time,Any,1.0,BA,Position Title: CCCM Community Mobilizer
75,Kabul City,National,Education,Part Time,Any,5.0,BA,Position Title: Instructor 
76,North-Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Regional Social Cohesion Officer
77,West Zone,National,Business,Full Time,Male,0.0,,Position Title: Associate Real Estate and Subscription
78,Central Highlands,National,Others,Full Time,Any,3.0,BA,Position Title: Livelihood Trainer (Re Announced)
79,South Zone,National,Business,Full Time,Female,0.0,BA,Position Title: Finance Officer (Female only)
80,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Associate Protection Cluster Coordination Officer
81,South Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: Nutrition Officer, NOB, Fixed-Term, Kandahar, Afghanistan, #90284"
82,Kabul City,National,Business,Full Time,Male,4.0,MA,Position Title: Taxation Manager
83,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring & Evaluation (M&E) Officer
84,Kabul City,National,Business,Full Time,Any,6.0,SS,Position Title: Procurement Associate (Roster)
85,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Coordinator Administration
86,Kabul City,National,Others,Full Time,Any,2.5,MA,Position Title: Sales Executive
87,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Finance Officer (Re-Announced)
88,Kabul City,National,Engineering,Full Time,Any,2.5,BA,Position Title: MEP Engineer (Re Announced)
89,Kabul City,National,Business,Full Time,Male,7.0,VD,Position Title: Chief Risk Officer 
90,Kabul City,National,Business,Full Time,Male,5.0,BA,Position Title: Chief Compliance Officer 
91,Kabul City,National,Health,Full Time,Any,2.0,HS,"Position Title: Ob/Gyn specialist, Pediatrician, Sonologist, Nurse, Midwife, Lab technician, Vaccinator, Cleaners, Driver, Guard"
92,Kabul City,National,Engineering,Full Time,Any,3.0,BA,Position Title: Design engineer
93,North-East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Finance officer
94,East Zone,National,IT,Full Time,Any,2.0,BA,Position Title: ICT Assistant
95,Kabul City,National,Business,Full Time,Any,8.0,MA,"Position Title: Senior Principal Advisor Monitoring, Evaluation, Research and Learning (MERL)"
96,Kabul City,National,Others,Full Time,Any,2.0,MA,Position Title: Associate Rule of Law Officer
97,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Harmonize Approach of Cash Transfer (HACT) Consultant (For Afghan Nationals Only)
98,South Zone,National,Engineering,Full Time,Any,2.0,BA,Position Title: Civil Engineer KDR
99,South Zone,National,Engineering,Full Time,Any,2.0,BA,Position Title: Community Mobilizer
100,Kabul City,National,Education,Full Time,Any,3.0,BA,Position Title: Senior English Trainer (Re Announced)
101,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Financial Institution Officer
102,Kabul City,National,Others,Full Time,Any,3.0,MA,Position Title: Program Development Manager (Re-Advrt.)
103,South Zone,National,Health,Full Time,Female,6.0,MD,Position Title: Performance Improvement Officer (Re Announced)
104,East Zone,National,Health,Full Time,Female,1.5,BA,Position Title: Community Based Rehabilitation Worker (CBRW)
105,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Value Chain Coordinator
106,South Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Program Officer KDR
107,East Zone,National,Engineering,Full Time,Male,3.0,BA,Position Title: Construction Engineer Supervisor
108,West Zone,National,Engineering,Full Time,Male,4.0,BA,Position Title: Foreman
109,West Zone,National,Engineering,Full Time,Male,4.0,BA,Position Title: Foreman
110,West Zone,National,Engineering,Full Time,Male,4.0,BA,Position Title: Foreman
111,West Zone,Any,Health,Full Time,Any,7.0,MA,Position Title: Production Manager
112,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: SENIOR MONITORING AND EVALUATION ADVISOR
113,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: DEPUTY MONITORING LEAD
114,Kabul City,National,Agriculture,Full Time,Any,5.0,MA,Position Title: Gender Specialist
115,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Senior Compliance Officer
116,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: DTM Reporting and Translation Assistant
117,Kabul City,National,Business,Full Time,Any,4.0,HS,Position Title: DTM Monitoring and Evaluation Assistant
118,Kabul City,National,Business,Full Time,Male,5.0,BA,Position Title: Finance and Tax Officer (Re Announced)
119,Kabul City,National,Business,Full Time,Any,6.0,BA,Position Title: Grants Management Specialist - Grants Management and Reporting (GMR) (Re Announced)
120,Central Highlands,National,Health,Full Time,Any,3.0,MD,Position Title: Paediatrician
121,Central Highlands,National,Health,Full Time,Any,3.0,BA,Position Title: Pharmacy Assistant
122,North-East Zone,National,Health,Full Time,Any,2.0,MD,Position Title: Project Senior Officer
123,West Zone,National,Health,Full Time,Male,3.0,BA,Position Title: CLTS supervisor
124,West Zone,National,Health,Full Time,Any,2.0,BA,"Position Title: CLTS facilitator (Couples "" Mahram"")"
125,Kabul Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Finance Assistant (Only Female)
126,Kabul City,National,Business,Full Time,Male,3.0,HS,Position Title: Car Washer
127,Kabul City,National,Business,Full Time,Any,7.0,MA,Position Title: Program Manager
128,North-Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Finance and Admin Assistant
129,North-East Zone,National,Security,Full Time,Any,1.0,MA,Position Title: Security Operations Support Officer- NOA - Multiple Locations
130,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: FSL (Food Security and Livelihood) Officer - Nimruz (Re Announced)
131,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Team Leader
132,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Team Leader
133,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Team Leader
134,North-Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Team Leader
135,East Zone,National,Business,Full Time,Female,3.0,BA,Position Title: Senior FSL Officer
136,North-East Zone,National,Business,Full Time,Female,3.0,BA,Position Title: Field Monitor (Healthcare)
137,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Field Monitor (Resilience and Food system)- Civil Engineer and Agriculture
138,North-East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Field Monitor
139,North-Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Field Monitor
140,North-East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Field Monitor
141,North-East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Field Monitor
142,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: HR Manager
143,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: National Training Officer
144,South Zone,National,Health,Full Time,Female,3.0,BA,Position Title: Trainer
145,Kabul City,National,Engineering,Full Time,Any,7.0,BA,Position Title: Senior Water Supply Design Specialist
146,Kabul City,National,Health,Full Time,Female,3.0,BA,Position Title: Trainer
147,Kabul City,National,Health,Full Time,Female,3.0,VD,Position Title: Trainer
148,North-East Zone,National,Health,Full Time,Female,3.0,BA,Position Title: Trainer
149,East Zone,National,Health,Full Time,Female,3.0,BA,Position Title: Trainer
150,Kabul City,National,Others,Full Time,Any,5.0,BA,Position Title: Accountability and learning coordinator
151,West Zone,National,Health,Full Time,Female,3.0,BA,Position Title:  Trainer
152,North-Zone,National,Health,Full Time,Female,3.0,BA,Position Title: Trainer
153,Kabul City,National,Business,Full Time,Male,1.0,HS,Position Title: Cook
154,Kabul Zone,National,Business,Full Time,Male,3.0,HS,Position Title: Cook
155,North-Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Project Assistant
156,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: Senior Monitoring and Evaluation Specialist
157,East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Project Assistant
158,Kabul City,National,Business,Full Time,Any,6.0,BA,Position Title: Transportation Engineer
159,South Zone,National,Health,Full Time,Male,2.0,BA,Position Title: Clinick Doctor 
160,South Zone,National,Health,Full Time,Male,2.0,BA,Position Title: Clinick Doctor 
161,North-Zone,National,Others,Full Time,Male,3.0,BA,Position Title: Finance and Admin Assistant
162,Kabul Zone,National,Business,Full Time,Any,5.0,BA,Position Title: HR Officer
163,West Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Regional Portfolio Manager
164,Kabul City,National,Health,Full Time,Male,4.0,BA,"Position Title: Environmental, Social, Health and Safety (ESHS) Officer"
165,Central Highlands,National,Health,Full Time,Any,2.0,BA,Position Title: Pharmacy Technician
166,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Specialist Carrier Relations & Wholesales
167,Central Highlands,National,Health,Full Time,Male,1.0,HS,Position Title: FATP Cleaner (Only Ghazni Residents Can Apply)
168,Kabul City,National,Business,Full Time,Any,6.0,MD,"Position Title: Senior Health Officer, Health Budget	 Development"
169,Central Highlands,National,Health,Full Time,Female,2.0,BA,Position Title: Female FATP Nurse
170,Kabul City,National,Health,Full Time,Female,4.5,MD,Position Title: Reproductive Health Coordinator (Re Announced)
171,Central Highlands,National,Health,Full Time,Female,0.0,BA,Position Title: Female Health & Hygiene Promoter (Only Ghazni Residents Can Apply)
172,Central Highlands,National,Health,Full Time,Female,0.0,BA,Position Title: TFU Psycho-Social Support Provider (Only Female)
173,Kabul City,National,Security,Full Time,Male,2.0,HS,Position Title: Watchman
174,Kabul City,National,Business,Full Time,Any,1.0,BA,Position Title: MEAL Intern
175,North-Zone,National,Business,Full Time,Male,4.0,BA,Position Title: Administration and Services
176,North-Zone,National,Business,Full Time,Male,4.0,BA,Position Title: Financial and Accounting department 
177,North-Zone,National,Engineering,Full Time,Male,2.0,BA,Position Title: Laboratory Chemical Department Engineer
178,North-Zone,National,Engineering,Full Time,Male,2.0,BA,Position Title: Laboratory technologist
179,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title:  Procurement Manager
180,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Human Resource Manager
181,Kabul City,National,Health,Full Time,Any,3.0,BA,Position Title: Gender and Protection Manager
182,South Zone,National,Health,Full Time,Any,2.0,BA,Position Title: MHPSS Deputy Program Manager
183,North-East Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Project Manager (Takhar) (Re Announced) (Re Announced) (Re Announced)
184,East Zone,National,Business,Full Time,Male,3.0,BA,Position Title: HR Officer (Re Announced)
185,South Zone,National,Health,Full Time,Female,3.0,BA,Position Title: Clinick Doctor 
186,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: HR Assistant (Re Announced)
187,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Finance Officer (Re Announced) (Re Announced)
188,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Administrative Assistant
189,Kabul City,National,Health,Full Time,Male,3.0,BA,Position Title: Clinick Doctor 
190,East Zone,National,Education,Full Time,Male,6.5,MA,Position Title: Education Specialist (Re Announced)
191,Kabul City,National,Business,Full Time,Male,3.0,MA,Position Title: Program Advisor (Re Announced)
192,Kabul City,National,Business,Full Time,Male,5.0,BA,Position Title: Project Manager (PM)
193,Kabul City,National,Health,Full Time,Female,2.0,BA,Position Title: Midwife
194,Kabul City,National,Health,Full Time,Male,10.0,BA,Position Title: Program Director
195,North-Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Project Manager
196,North-Zone,National,Business,Full Time,Male,2.0,BA,Position Title: project assistant
197,Kabul City,National,Business,Full Time,Any,1.0,BA,"Position Title: Information Management Officer, NOA, Temporary Appointment (364 days), Kabul, Central Region #122985"
198,Central Highlands,National,Health,Full Time,Male,2.0,MD,Position Title: Male MD
199,North-Zone,National,Health,Full Time,Any,3.0,BA,Position Title: Admin/Logistics Officer
200,North-East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Admin/Finance Officer
201,West Zone,National,Engineering,Full Time,Male,5.0,BA,Position Title: Project Manager
202,West Zone,National,Others,Full Time,Male,2.5,BA,Position Title:Quality Control Manager
203,West Zone,National,Others,Full Time,Male,3.0,BA,Position Title: Quality Control Engineer
204,West Zone,National,Engineering,Full Time,Male,4.5,BA,Position Title: Hydrotechnical Engineer
205,West Zone,National,Engineering,Full Time,Male,2.5,BA,Position Title: Laboratory Employee
206,West Zone,National,Engineering,Full Time,Male,2.5,BA,Position Title: Health Director 
207,West Zone,National,Engineering,Full Time,Male,4.5,BA,Position Title: Estimation and Evaluation Engineer 
208,West Zone,National,Engineering,Full Time,Male,3.0,BA,Position Title: Safety Engineer 
209,West Zone,National,Business,Full Time,Male,10.0,BA,Position Title: Director of Administration
210,Central Highlands,National,Education,Full Time,Male,3.5,BA,Position Title: Master Trainer (Re Announced) (Re Announced)
211,Kabul City,National,Health,Full Time,Any,3.5,MD,Position Title: Senior Officer Grievances Redressed Mechanisms
212,Central Highlands,National,Education,Full Time,Male,4.0,BA,Position Title: Project Manager (Re Announced)
213,East Zone,National,Health,Full Time,Female,2.5,BA,Position Title: Psychosocial Counselor
214,East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Midwife
215,North-Zone,National,Health,Full Time,Male,3.0,BA,Position Title: Doctor 
216,North-Zone,Any,Business,Full Time,Male,3.0,BA,Position Title:Evaluation and Sales Manager
217,East Zone,National,Health,Full Time,Female,0.0,BA,Position Title: Life Skill Trainer
218,East Zone,National,Health,Full Time,Female,2.5,BA,Position Title: Youth Educators
219,East Zone,National,Engineering,Full Time,Any,2.0,BA,Position Title: Assistant Engineer
220,Kabul City,National,Business,Full Time,Any,1.0,BA,Position Title: HR Intern
221,East Zone,National,Health,Full Time,Female,1.0,BA,Position Title: Community Mobilizer
222,East Zone,National,Health,Full Time,Female,2.5,BA,Position Title: WFHS Project Officer
223,East Zone,National,Health,Full Time,Female,1.5,,Position Title: Female Cleaner TFU (Only Paktia Residents)
224,East Zone,National,Health,Full Time,Female,4.5,BA,Position Title: MHPSS  Manager (Psychologist)
225,East Zone,National,Health,Full Time,Male,2.0,BA,Position Title: Male Nurse TFU
226,Kabul City,National,Legal,Full Time,Any,7.0,BA,Position Title: Manager Corporate Compliance
227,Kabul City,National,Legal,Full Time,Any,7.0,BA,Position Title: Manager ABAC and CoC
228,East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: TFU Pediatrician
229,East Zone,National,Health,Full Time,Any,2.5,BA,Position Title: Admin/Finance Assistant
230,East Zone,National,Health,Full Time,Male,2.0,BA,Position Title: Security Assistant
231,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: WFHS Project Manager
232,North-Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Project Manager
233,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: project assistant
234,East Zone,National,Health,Full Time,Any,3.0,MD,Position Title: Ultrasonologist
235,Kabul City,National,Business,Full Time,Male,2.5,BA,Position Title: Finance Assistant
236,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: HR Intern
237,Kabul Zone,National,Business,Full Time,Any,3.0,HS,Position Title: Community/Social Mobilizer
238,Kabul City,National,Business,Full Time,Female,2.0,BA,Position Title: Agribusiness Specialist
239,Kabul City,National,Education,Full Time,Male,0.0,BA,Position Title: Meal Manager
240,Kabul City,National,Agriculture,Full Time,Any,15.0,BA,Position Title: Deputy Chief of Party-Technical
241,West Zone,National,Business,Full Time,Female,2.0,VD,Position Title: Agribusiness Assistant
242,East Zone,National,Business,Full Time,Male,4.0,BA,Position Title: Child Protection Case Management Supervisor (Re Announced)
243,Kabul City,National,Business,Full Time,Male,15.0,MA,Position Title: Director of Operations (Re Announced)
244,North-Zone,National,Security,Full Time,Male,1.0,HS,Position Title: Security Guard
245,Kabul City,National,Agriculture,Full Time,Any,5.0,BA,Position Title: Gender and Youth Specialist
246,North-East Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Agronomist
247,North-East Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Livelihood Expert
248,East Zone,National,Health,Full Time,Male,1.0,HS,Position Title: FATP Cleaner (Only Paktia Residents)
249,North-East Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Social Mobilizer - Livelihood
250,Kabul City,National,Others,Full Time,Any,2.5,HS,Position Title: Cashier/Photocopy Operator
251,East Zone,National,Health,Full Time,Female,0.0,BA,Position Title: Female FATP Nurse (Only Paktia Residents)
252,Kabul City,National,Health,Full Time,Any,3.0,BA,Position Title: Pharmacy Officer
253,North-East Zone,National,Others,Full Time,Any,5.0,BA,Position Title: Livelihood Expert
254,East Zone,National,Health,Full Time,Any,2.0,BA,Position Title: Pharmacy Technician
255,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Regional Child Protection and Gender Based Violence Manage
256,South Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: WASH Officer (NOB) Fixed-Term, Kandahar, Afghanistan, #90282 (Afghan Nationals Only)"
257,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Learning and Development Specialist
258,East Zone,National,Health,Full Time,Female,0.0,BA,Position Title: Female TFU Psycho-Social Support Provider
259,Kabul City,National,Engineering,Full Time,Female,3.0,BA,Position Title: Shelter Coordinator
260,Kabul City,National,Education,Full Time,Male,7.0,BA,Position Title: Program Manager
261,East Zone,National,Health,Full Time,Female,0.0,BA,Position Title: Health & Hygiene Promoter
262,East Zone,National,Health,Full Time,Female,2.0,BA,Position Title: Female TFU Nurse
263,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Account Director (Media Project Manager)
264,East Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Provincial Social Worker
265,Kabul City,National,Health,Full Time,Male,7.0,MD,Position Title: HMIS and M&E Manager
266,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Project Coordinator
267,West Zone,National,Business,Full Time,Male,5.0,MA,Position Title: Regional Manager
268,Kabul City,National,Business,Full Time,Male,2.5,BA,Position Title: Procurement Officer (National)
269,Kabul City,National,Health,Full Time,Any,1.0,HS,Position Title: Vaccinator-PD13 (Re Announced)
270,Kabul City,National,Agriculture,Full Time,Female,3.0,BA,Position Title: Livelihood and Food Security Coordinator
271,Kabul City,National,Others,Full Time,Any,2.0,BA,Position Title: Medical logistics Officer
272,North-Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Project Supervisor
273,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Project Officer (Re Announced)
274,Kabul City,National,Business,Full Time,Any,5.5,MA,Position Title: Consultant- gap assessment of renewable energy
275,North-Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Field Monitor
276,Kabul City,National,Business,Full Time,Male,5.0,BA,Position Title: Communication Officer
277,Central Highlands,National,Business,Full Time,Any,5.0,BA,Position Title: Child protection social work provincial supervisor
278,Kabul Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Logistics / Transport Assistant
279,East Zone,National,Health,Full Time,Any,3.5,BA,"Position Title: Environment, Social, Health and Safety (ESHS) Officer and GRM focal person"
280,Kabul City,National,Education,Full Time,Female,4.0,BA,Position Title: Camp Management Officer
281,Kabul City,National,Business,Full Time,Any,1.0,BA,"Position Title: Generic Vacancy Announcement: WASH Officer NOA, Multiple locations, Afghanistan"
282,Kabul Zone,National,Health,Full Time,Any,3.5,BA,"Position Title: Environment, Social, Health and Safety (ESHS) officer and GRM focal person"
283,North-Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Warehouse Manager
284,North-Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Accounting Manager
285,East Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Nurse (Only Female)
286,Kabul City,National,Business,Full Time,Any,2.5,BA,Position Title: National Finance Coordinator- Grants (Re Announced)
287,South Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Programme Admin/Finance Officer (Area Office)
288,North-Zone,National,Engineering,Full Time,Male,2.0,BA,Position Title: Engineer 
289,East Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Midwife (Only Female)
290,North-Zone,National,Engineering,Full Time,Any,1.0,BA,Position Title: Graphic Designer and video editor
291,East Zone,National,Business,Full Time,Female,4.0,BA,Position Title: Senior Response Officer (Only Female)
292,Kabul City,National,Legal,Full Time,Any,7.0,BA,Position Title: Manager AML/CFT and GSEC
293,East Zone,National,Others,Full Time,Any,3.5,BA,Position Title: Area Social Cohesion Officer
294,Kabul City,National,Health,Full Time,Any,4.5,BA,Position Title: Lab Technologist
295,Kabul City,National,Business,Full Time,Any,8.0,BA,Position Title: Senior Manager - Roaming
296,West Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Provincial Supervisor / Coordinator
297,West Zone,National,Business,Full Time,Any,4.0,BA,Position Title: District Supervisors / Team Leaders
299,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Surveyor
