,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
2039,Central Highlands,National,Business,Full Time,Male,2.5,HS,Position Title: Security Guard
2040,Kabul City,National,Health,Full Time,Any,6.0,BA,Position Title: Midwifery Program Officer
2041,Kabul City,National,Business,Full Time,Male,4.0,BA,Position Title: AAM/Branch Manager (Re-Announced)
2042,Kabul City,National,Health,Full Time,Any,6.0,MD,Position Title: RMNH Officer
2043,North-Zone,National,Business,Full Time,Male,1.0,BA,Position Title: Teller Haritan Branch   
2044,West Zone,National,Health,Full Time,Any,4.0,MD,Position Title: Hospital Manager
2045,West Zone,National,Health,Full Time,Any,0.0,MD,Position Title: Pediatric Specialist
2046,Kabul City,National,Business,Full Time,Female,7.0,BA,Position Title: Programme Development Manager/Proposal Writer
2047,West Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Gender and Youth Specialist
2048,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Human Resource Manager
2049,Kabul City,International,Others,Full Time,Any,5.0,MA,Position Title: WASH Cluster Co-Coordinator
2050,Kabul City,National,Others,Full Time,Any,2.5,BA,Position Title: Disability Specialist
2051,Kabul City,National,Business,Full Time,Male,2.5,BA,Position Title: Deputy IT Audit Manager (Re Announced)
2052,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Internal Auditor
2053,South Zone,National,Business,Full Time,Male,5.0,BA,Position Title: Admin & finance
2054,North-East Zone,National,Health,Full Time,Female,3.0,MD,Position Title: RH Supervisor
2055,North-East Zone,National,Health,Full Time,Male,3.0,MD,Position Title: HRD Officer
2056,North-Zone,National,Business,Full Time,Any,5.0,BA,Position Title: FSL Project Manager
2057,North-East Zone,National,Health,Full Time,Any,2.0,MD,Position Title: Cluster Supervisor
2058,Kabul City,National,Security,Full Time,Any,5.0,BA,Position Title: National Senior Security Officer - PIU
2059,North-Zone,National,Business,Full Time,Male,2.0,BA,Position Title: District Coordinator
2060,Kabul City,National,Engineering,Full Time,Any,7.0,BA,Position Title: National Senior Engineer - PIU
2061,East Zone,National,Business,Full Time,Female,0.0,BA,Position Title: District Communication Officer (DCO) - Only Female
2062,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: National Senior Social Development Specialist - PIU
2063,Central Highlands,National,Health,Full Time,Any,2.5,BA,Position Title: IT Assistant
2064,Kabul City,National,Business,Full Time,Any,7.0,BA,Position Title: National Senior Finance Coordinator - PIU
2065,West Zone,National,Business,Full Time,Female,2.0,BA,Position Title: PSS Counselor (Psycho-Social Counselor)
2066,East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: District Communication Officer (DCO) - Nangarhar (Behsud District)
2067,North-East Zone,National,Engineering,Full Time,Any,5.0,BA,Position Title: Site Engineer
2068,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: Assistant Programme Officer (HIV Prevention and Drug Demand Reduction)
2069,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Community Mobilizer
2070,Kabul Zone,National,Engineering,Full Time,Male,5.0,BA,Position Title: Electrician
2071,Kabul City,National,Security,Full Time,Any,5.0,BA,"Position Title: Health, Safety and Security Coordinator"
2072,Kabul Zone,National,Others,Full Time,Male,5.0,HS,Position Title: Excavator Driver
2073,Kabul City,National,Education,Full Time,Any,4.0,BA,Position Title: Literacy and Numeracy Teacher
2074,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Supply Chain and Operations Assistant
